i,f',f*,p,e,d,lambda,z',z*
1,-83.62297896276658,-83.62297896276658,1,0,0,0.75,[1 1 1 1 0 0 0 0 1],[0 0 0 0 0 1 1 0 0]
2,155.25012198986914,-83.62297896276658,1,0,1,0.5,[1 0 1 0 0 1 1 1 0],[0 0 0 0 0 1 1 0 0]
3,388.44681603714133,-83.62297896276658,1,0,2,0.375,[0 1 0 1 1 1 1 0 1],[0 0 0 0 0 1 1 0 0]
4,101.60794569145824,-83.62297896276658,1,0,3,0.3,[1 1 0 1 0 1 0 0 0],[0 0 0 0 0 1 1 0 0]
