i,f',f*,p,e,d,lambda,z',z*
1,456.9115714883859,456.9115714883859,1,0,0,0.75,[1 1 1 1 1 0 1 0 1],[1 0 0 1 0 1 1 1 1]
2,0.0,0.0,1,0,0,0.5,[1 0 0 1 0 1 1 1 1],[0 0 0 1 1 0 0 0 0]
3,472.25636010822325,0.0,1,0,1,0.375,[1 1 1 1 1 0 0 1 0],[0 0 0 1 1 0 0 0 0]
4,23.162084638075875,0.0,1,0,2,0.3,[0 1 0 1 0 0 0 1 1],[0 0 0 1 1 0 0 0 0]
5,304.8238370743747,0.0,1,0,3,0.25,[0 1 1 1 1 0 1 0 1],[0 0 0 1 1 0 0 0 0]
6,1251.477446403696,0.0,1,0,4,0.21428571428571427,[1 1 1 1 1 1 1 1 1],[0 0 0 1 1 0 0 0 0]
7,383.2696981277571,0.0,1,0,5,0.1875,[1 1 1 1 1 0 0 0 1],[0 0 0 1 1 0 0 0 0]
8,49.92009339760696,0.0,1,0,6,0.16666666666666666,[1 1 0 0 0 0 1 0 0],[0 0 0 1 1 0 0 0 0]
9,383.2696981277571,0.0,1,0,7,0.15,[1 1 0 0 0 1 1 1 1],[0 0 0 1 1 0 0 0 0]
10,613.43016337852,0.0,0.991,0,8,0.13636363636363635,[1 0 1 1 1 1 1 1 0],[0 0 0 1 1 0 0 0 0]
11,378.2791453266882,0.0,0.991,0,9,0.125,[1 0 1 0 1 1 1 0 1],[0 0 0 1 1 0 0 0 0]
12,49.73352828929164,0.0,0.991,0,10,0.11538461538461539,[0 1 0 0 0 0 0 1 1],[0 0 0 1 1 0 0 0 0]
13,388.44681603714133,0.0,0.991,0,11,0.10714285714285714,[0 1 0 1 1 1 1 0 1],[0 0 0 1 1 0 0 0 0]
14,692.0625895402177,0.0,0.991,0,12,0.1,[1 1 1 1 0 0 1 1 1],[0 0 0 1 1 0 0 0 0]
15,613.2435982702046,0.0,0.991,0,13,0.09375,[0 1 1 1 0 1 1 1 1],[0 0 0 1 1 0 0 0 0]
16,155.25012198986917,0.0,0.991,0,14,0.08823529411764706,[1 1 0 1 0 1 0 0 1],[0 0 0 1 1 0 0 0 0]
17,456.91157148838585,0.0,0.991,0,15,0.08333333333333333,[1 1 1 1 0 1 1 0 0],[0 0 0 1 1 0 0 0 0]
18,-28.525767655775404,-28.525767655775404,0.991,0,0,0.07894736842105263,[0 0 0 1 1 0 0 0 0],[0 1 0 1 0 0 1 0 0]
19,467.2658073071543,-28.525767655775404,0.991,0,1,0.075,[1 1 0 1 1 1 1 0 0],[0 1 0 1 0 0 1 0 0]
20,44.74297548822275,-28.525767655775404,0.98209,0,2,0.07142857142857142,[1 0 0 0 0 0 1 0 1],[0 1 0 1 0 0 1 0 0]
21,466.7061119822084,-28.525767655775404,0.98209,0,3,0.06818181818181818,[1 1 1 0 0 1 0 1 1],[0 1 0 1 0 0 1 0 0]
22,471.8832298915926,-28.525767655775404,0.98209,0,4,0.06521739130434782,[0 1 1 1 1 1 0 1 0],[0 1 0 1 0 0 1 0 0]
23,49.73352828929164,-28.525767655775404,0.98209,0,5,0.0625,[0 1 1 0 0 1 0 0 0],[0 1 0 1 0 0 1 0 0]
24,244.05021886201993,-28.525767655775404,0.98209,0,6,0.06,[0 1 0 0 1 1 1 1 0],[0 1 0 1 0 0 1 0 0]
